State of Residence,County of Residence,Year,Births,Birth Rate,Fertility Rate
Pennsylvania,"Cumberland County, PA",2016,2683,10.8,57.85
Pennsylvania,"Cumberland County, PA",2017,2612,10.45,55.89
Pennsylvania,"Cumberland County, PA",2018,2597,Not Available,Not Available
Pennsylvania,"Cumberland County, PA",2019,2597,Not Available,Not Available
Pennsylvania,"Cumberland County, PA",,10489,21.04,112.65
Pennsylvania,"Dauphin County, PA",2016,3437,12.56,66.44
Pennsylvania,"Dauphin County, PA",2017,3404,12.35,65.32
Pennsylvania,"Dauphin County, PA",2018,3397,Not Available,Not Available
Pennsylvania,"Dauphin County, PA",2019,3273,Not Available,Not Available
Pennsylvania,"Dauphin County, PA",,13511,24.59,130.11
Pennsylvania,"Delaware County, PA",2016,6575,11.67,59.85
Pennsylvania,"Delaware County, PA",2017,6576,11.65,59.72
Pennsylvania,"Delaware County, PA",2018,6453,Not Available,Not Available
Pennsylvania,"Delaware County, PA",2019,6328,Not Available,Not Available
Pennsylvania,"Delaware County, PA",,25932,22.99,117.89
Pennsylvania,"Erie County, PA",2016,3064,11.09,58.8
Pennsylvania,"Erie County, PA",2017,2994,10.91,58.23
Pennsylvania,"Erie County, PA",2018,2788,Not Available,Not Available
Pennsylvania,"Erie County, PA",2019,2782,Not Available,Not Available
Pennsylvania,"Erie County, PA",,11628,21.11,112.32
Pennsylvania,"Fayette County, PA",2016,1351,10.18,62.01
Pennsylvania,"Fayette County, PA",2017,1296,9.86,60.48
Pennsylvania,"Fayette County, PA",2018,1326,Not Available,Not Available
Pennsylvania,"Fayette County, PA",2019,1233,Not Available,Not Available
Pennsylvania,"Fayette County, PA",,5206,19.7,120.46
Pennsylvania,"Franklin County, PA",2016,1875,12.19,68.68
Pennsylvania,"Franklin County, PA",2017,1786,11.58,65.78
Pennsylvania,"Franklin County, PA",2018,1745,Not Available,Not Available
Pennsylvania,"Franklin County, PA",2019,1745,Not Available,Not Available
Pennsylvania,"Franklin County, PA",,7151,23.21,131.32
Pennsylvania,"Lackawanna County, PA",2016,2246,10.63,58.45
Pennsylvania,"Lackawanna County, PA",2017,2076,9.85,54.3
Pennsylvania,"Lackawanna County, PA",2018,2033,Not Available,Not Available
Pennsylvania,"Lackawanna County, PA",2019,2058,Not Available,Not Available
Pennsylvania,"Lackawanna County, PA",,8413,19.93,109.75
Pennsylvania,"Lancaster County, PA",2016,7000,13,69.35
Pennsylvania,"Lancaster County, PA",2017,7258,13.37,71.55
Pennsylvania,"Lancaster County, PA",2018,6975,Not Available,Not Available
Pennsylvania,"Lancaster County, PA",2019,6899,Not Available,Not Available
Pennsylvania,"Lancaster County, PA",,28132,26.01,139.01
Pennsylvania,"Lebanon County, PA",2016,1592,11.46,64.92
Pennsylvania,"Lebanon County, PA",2017,1581,11.31,63.7
Pennsylvania,"Lebanon County, PA",2018,1562,Not Available,Not Available
Pennsylvania,"Lebanon County, PA",2019,1595,Not Available,Not Available
Pennsylvania,"Lebanon County, PA",,6330,22.72,128.29
Pennsylvania,"Lehigh County, PA",2016,4253,11.71,61.05
Pennsylvania,"Lehigh County, PA",2017,4291,11.71,60.71
Pennsylvania,"Lehigh County, PA",2018,4352,Not Available,Not Available
Pennsylvania,"Lehigh County, PA",2019,4282,Not Available,Not Available
Pennsylvania,"Lehigh County, PA",,17178,23.54,122.4
Pennsylvania,"Luzerne County, PA",2016,3193,10.09,57.95
Pennsylvania,"Luzerne County, PA",2017,3284,10.35,59.39
Pennsylvania,"Luzerne County, PA",2018,3310,Not Available,Not Available
Pennsylvania,"Luzerne County, PA",2019,3255,Not Available,Not Available
Pennsylvania,"Luzerne County, PA",,13042,20.58,118.14
Pennsylvania,"Lycoming County, PA",2016,1222,10.6,58.88
Pennsylvania,"Lycoming County, PA",2017,1174,10.31,57.19
Pennsylvania,"Lycoming County, PA",2018,1202,Not Available,Not Available
Pennsylvania,"Lycoming County, PA",2019,1187,Not Available,Not Available
Pennsylvania,"Lycoming County, PA",,4785,20.89,115.91
Pennsylvania,"Mercer County, PA",2016,1165,10.32,61.53
Pennsylvania,"Mercer County, PA",2017,1092,9.77,58.47
Pennsylvania,"Mercer County, PA",2018,1078,Not Available,Not Available
Pennsylvania,"Mercer County, PA",2019,1025,Not Available,Not Available
Pennsylvania,"Mercer County, PA",,4360,19.41,115.93
Pennsylvania,"Monroe County, PA",2016,1477,8.89,48.48
Pennsylvania,"Monroe County, PA",2017,1537,9.15,49.86
Pennsylvania,"Monroe County, PA",2018,1518,Not Available,Not Available
Pennsylvania,"Monroe County, PA",2019,1475,Not Available,Not Available
Pennsylvania,"Monroe County, PA",,6007,17.98,98
Pennsylvania,"Montgomery County, PA",2016,8695,10.58,57.88
Pennsylvania,"Montgomery County, PA",2017,8702,10.53,57.43
Pennsylvania,"Montgomery County, PA",2018,8515,Not Available,Not Available
Pennsylvania,"Montgomery County, PA",2019,8440,Not Available,Not Available
Pennsylvania,"Montgomery County, PA",,34352,20.85,113.84
Pennsylvania,"Northampton County, PA",2016,2831,9.37,51.58
Pennsylvania,"Northampton County, PA",2017,2789,9.19,50.54
Pennsylvania,"Northampton County, PA",2018,2909,Not Available,Not Available
Pennsylvania,"Northampton County, PA",2019,2782,Not Available,Not Available
Pennsylvania,"Northampton County, PA",,11311,18.67,102.77
Pennsylvania,"Philadelphia County, PA",2016,21506,13.72,59.23
Pennsylvania,"Philadelphia County, PA",2017,21288,13.47,58.38
Pennsylvania,"Philadelphia County, PA",2018,20691,Not Available,Not Available
Pennsylvania,"Philadelphia County, PA",2019,20511,Not Available,Not Available
Pennsylvania,"Philadelphia County, PA",,83996,26.68,115.42
Pennsylvania,"Schuylkill County, PA",2016,1367,9.52,60.51
Pennsylvania,"Schuylkill County, PA",2017,1313,9.21,58.89
Pennsylvania,"Schuylkill County, PA",2018,1272,Not Available,Not Available
Pennsylvania,"Schuylkill County, PA",2019,1325,Not Available,Not Available
Pennsylvania,"Schuylkill County, PA",,5277,18.44,117.55
Pennsylvania,"Washington County, PA",2016,2044,9.83,57.91
Pennsylvania,"Washington County, PA",2017,1967,9.49,56.04
Pennsylvania,"Washington County, PA",2018,2063,Not Available,Not Available
Pennsylvania,"Washington County, PA",2019,2026,Not Available,Not Available
Pennsylvania,"Washington County, PA",,8100,19.5,115.06
Pennsylvania,"Westmoreland County, PA",2016,2939,8.27,52.03
Pennsylvania,"Westmoreland County, PA",2017,2953,8.37,52.92
Pennsylvania,"Westmoreland County, PA",2018,2849,Not Available,Not Available
Pennsylvania,"Westmoreland County, PA",2019,2962,Not Available,Not Available
Pennsylvania,"Westmoreland County, PA",,11703,16.53,104.22
Pennsylvania,"York County, PA",2016,4974,11.21,61.93
Pennsylvania,"York County, PA",2017,4933,11.06,61.32
Pennsylvania,"York County, PA",2018,4707,Not Available,Not Available
Pennsylvania,"York County, PA",2019,4760,Not Available,Not Available
Pennsylvania,"York County, PA",,19374,21.77,120.51
Pennsylvania,"Unidentified Counties, PA",2016,16421,9.83,59.19
Pennsylvania,"Unidentified Counties, PA",2017,16218,9.76,59.27
Pennsylvania,"Unidentified Counties, PA",2018,15927,1.24,6.68
Pennsylvania,"Unidentified Counties, PA",2019,15631,1.22,6.56
Pennsylvania,"Unidentified Counties, PA",,64197,2.22,12.07
Pennsylvania,,,547057,10.68,57.38
Rhode Island,"Kent County, RI",2016,1565,9.51,53.82
Rhode Island,"Kent County, RI",2017,1552,9.48,53.57
Rhode Island,"Kent County, RI",2018,1502,Not Available,Not Available
Rhode Island,"Kent County, RI",2019,1450,Not Available,Not Available
Rhode Island,"Kent County, RI",,6069,18.48,104.54
Rhode Island,"Providence County, RI",2016,7275,11.48,54.8
Rhode Island,"Providence County, RI",2017,7173,11.25,53.71
Rhode Island,"Providence County, RI",2018,7119,Not Available,Not Available
Rhode Island,"Providence County, RI",2019,6956,Not Available,Not Available
Rhode Island,"Providence County, RI",,28523,22.44,107.1
Rhode Island,"Washington County, RI",2016,929,7.36,39.4
Rhode Island,"Washington County, RI",2017,852,6.75,36.22
Rhode Island,"Washington County, RI",2018,870,Not Available,Not Available
Rhode Island,"Washington County, RI",2019,821,Not Available,Not Available
Rhode Island,"Washington County, RI",,3472,13.75,73.71
Rhode Island,"Unidentified Counties, RI",2016,1029,7.8,44.57
Rhode Island,"Unidentified Counties, RI",2017,1061,8.02,46.09
Rhode Island,"Unidentified Counties, RI",2018,1015,0.96,4.88
Rhode Island,"Unidentified Counties, RI",2019,948,0.89,4.55
Rhode Island,"Unidentified Counties, RI",,4053,1.7,8.76
Rhode Island,,,42117,9.95,50.5
South Carolina,"Aiken County, SC",2016,1965,11.73,64.18
South Carolina,"Aiken County, SC",2017,1860,11.06,60.5
South Carolina,"Aiken County, SC",2018,1897,Not Available,Not Available
South Carolina,"Aiken County, SC",2019,1803,Not Available,Not Available
South Carolina,"Aiken County, SC",,7525,22.42,122.64
South Carolina,"Anderson County, SC",2016,2318,11.79,63.57
South Carolina,"Anderson County, SC",2017,2298,11.56,62.34
South Carolina,"Anderson County, SC",2018,2256,Not Available,Not Available
South Carolina,"Anderson County, SC",2019,2172,Not Available,Not Available
South Carolina,"Anderson County, SC",,9044,22.88,123.34
South Carolina,"Beaufort County, SC",2016,1958,10.69,66.7
South Carolina,"Beaufort County, SC",2017,2012,10.77,67.75
South Carolina,"Beaufort County, SC",2018,1912,Not Available,Not Available
South Carolina,"Beaufort County, SC",2019,1871,Not Available,Not Available
South Carolina,"Beaufort County, SC",,7753,20.95,131.28
South Carolina,"Berkeley County, SC",2016,2754,13.06,64.85
South Carolina,"Berkeley County, SC",2017,2697,12.38,61.82
South Carolina,"Berkeley County, SC",2018,2801,Not Available,Not Available
South Carolina,"Berkeley County, SC",2019,2869,Not Available,Not Available
South Carolina,"Berkeley County, SC",,11121,25.93,129.17
South Carolina,"Charleston County, SC",2016,5015,12.65,59.85
South Carolina,"Charleston County, SC",2017,4803,11.96,57.05
South Carolina,"Charleston County, SC",2018,4861,Not Available,Not Available
South Carolina,"Charleston County, SC",2019,4966,Not Available,Not Available
South Carolina,"Charleston County, SC",,19645,24.62,116.95
South Carolina,"Dorchester County, SC",2016,1800,11.71,57.72
South Carolina,"Dorchester County, SC",2017,1861,11.89,58.72
South Carolina,"Dorchester County, SC",2018,1843,Not Available,Not Available
South Carolina,"Dorchester County, SC",2019,1859,Not Available,Not Available
South Carolina,"Dorchester County, SC",,7363,23.73,117.1
South Carolina,"Florence County, SC",2016,1657,11.94,59.24
South Carolina,"Florence County, SC",2017,1695,12.23,61.07
South Carolina,"Florence County, SC",2018,1616,Not Available,Not Available
South Carolina,"Florence County, SC",2019,1624,Not Available,Not Available
South Carolina,"Florence County, SC",,6592,23.77,118.29
South Carolina,"Greenville County, SC",2016,6298,12.63,63.32
South Carolina,"Greenville County, SC",2017,6409,12.65,63.54
South Carolina,"Greenville County, SC",2018,6225,Not Available,Not Available
South Carolina,"Greenville County, SC",2019,6261,Not Available,Not Available
South Carolina,"Greenville County, SC",,25193,25.05,125.76
South Carolina,"Horry County, SC",2016,3118,9.67,55.85
South Carolina,"Horry County, SC",2017,3167,9.5,55.83
South Carolina,"Horry County, SC",2018,3153,Not Available,Not Available
South Carolina,"Horry County, SC",2019,3154,Not Available,Not Available
South Carolina,"Horry County, SC",,12592,19.21,111.87
South Carolina,"Lexington County, SC",2016,3264,11.4,58.97
South Carolina,"Lexington County, SC",2017,3210,11.04,57.24
South Carolina,"Lexington County, SC",2018,3224,Not Available,Not Available
South Carolina,"Lexington County, SC",2019,3195,Not Available,Not Available
South Carolina,"Lexington County, SC",,12893,22.35,115.71
South Carolina,"Pickens County, SC",2016,1225,9.97,47.59
South Carolina,"Pickens County, SC",2017,1169,9.47,45.25
South Carolina,"Pickens County, SC",2018,1145,Not Available,Not Available
South Carolina,"Pickens County, SC",2019,1286,Not Available,Not Available
South Carolina,"Pickens County, SC",,4825,19.59,93.55
South Carolina,"Richland County, SC",2016,4810,11.74,50.6
South Carolina,"Richland County, SC",2017,4646,11.29,48.63
South Carolina,"Richland County, SC",2018,4693,Not Available,Not Available
South Carolina,"Richland County, SC",2019,4841,Not Available,Not Available
South Carolina,"Richland County, SC",,18990,23.13,99.63
South Carolina,"Spartanburg County, SC",2016,3690,12.24,62.68
South Carolina,"Spartanburg County, SC",2017,3820,12.45,63.75
South Carolina,"Spartanburg County, SC",2018,3855,Not Available,Not Available
South Carolina,"Spartanburg County, SC",2019,3999,Not Available,Not Available
South Carolina,"Spartanburg County, SC",,15364,25.26,129.34
South Carolina,"Sumter County, SC",2016,1375,12.8,65.95
South Carolina,"Sumter County, SC",2017,1386,12.97,67.01
South Carolina,"Sumter County, SC",2018,1346,Not Available,Not Available
South Carolina,"Sumter County, SC",2019,1413,Not Available,Not Available
South Carolina,"Sumter County, SC",,5520,25.77,132.92
South Carolina,"York County, SC",2016,3011,11.65,57.72
South Carolina,"York County, SC",2017,2958,11.1,55.34
South Carolina,"York County, SC",2018,2921,Not Available,Not Available
South Carolina,"York County, SC",2019,2982,Not Available,Not Available
South Carolina,"York County, SC",,11872,22.61,112.41
South Carolina,"Unidentified Counties, SC",2016,13084,10.84,61.53
South Carolina,"Unidentified Counties, SC",2017,13038,10.77,61.49
South Carolina,"Unidentified Counties, SC",2018,12921,2.54,13.26
South Carolina,"Unidentified Counties, SC",2019,12743,2.47,12.95
South Carolina,"Unidentified Counties, SC",,51786,4.09,21.73
South Carolina,,,228078,11.28,58.75
South Dakota,"Minnehaha County, SD",2016,2937,15.68,79.13
South Dakota,"Minnehaha County, SD",2017,2911,15.43,77.69
South Dakota,"Minnehaha County, SD",2018,2891,Not Available,Not Available
South Dakota,"Minnehaha County, SD",2019,2789,Not Available,Not Available
South Dakota,"Minnehaha County, SD",,11528,30.66,154.56
South Dakota,"Pennington County, SD",2016,1471,13.45,75.56
South Dakota,"Pennington County, SD",2017,1468,13.33,74.91
South Dakota,"Pennington County, SD",2018,1542,Not Available,Not Available
South Dakota,"Pennington County, SD",2019,1451,Not Available,Not Available
South Dakota,"Pennington County, SD",,5932,27.02,151.84
South Dakota,"Unidentified Counties, SD",2016,7867,13.83,77.52
South Dakota,"Unidentified Counties, SD",2017,7755,13.58,76.17
South Dakota,"Unidentified Counties, SD",2018,7460,8.46,46.17
South Dakota,"Unidentified Counties, SD",2019,7209,8.15,44.48
South Dakota,"Unidentified Counties, SD",,30291,10.42,57.48
South Dakota,,,47751,13.64,74.54
Tennessee,"Blount County, TN",2016,1229,9.55,54.29
Tennessee,"Blount County, TN",2017,1220,9.39,53.58
Tennessee,"Blount County, TN",2018,1306,Not Available,Not Available
Tennessee,"Blount County, TN",2019,1240,Not Available,Not Available
Tennessee,"Blount County, TN",,4995,19.32,110.01
Tennessee,"Davidson County, TN",2016,10023,14.64,61.83
Tennessee,"Davidson County, TN",2017,10063,14.56,61.35
Tennessee,"Davidson County, TN",2018,9984,Not Available,Not Available
Tennessee,"Davidson County, TN",2019,10004,Not Available,Not Available
Tennessee,"Davidson County, TN",,40074,29.13,122.88
Tennessee,"Hamilton County, TN",2016,4293,12,60.77
Tennessee,"Hamilton County, TN",2017,4235,11.71,59.4
Tennessee,"Hamilton County, TN",2018,4249,Not Available,Not Available
Tennessee,"Hamilton County, TN",2019,4289,Not Available,Not Available
Tennessee,"Hamilton County, TN",,17066,23.72,120.24
Tennessee,"Knox County, TN",2016,5272,11.56,55.4
Tennessee,"Knox County, TN",2017,5211,11.28,54.01
Tennessee,"Knox County, TN",2018,5156,Not Available,Not Available
Tennessee,"Knox County, TN",2019,5125,Not Available,Not Available
Tennessee,"Knox County, TN",,20764,22.62,108.35
Tennessee,"Montgomery County, TN",2016,3443,17.59,76.4
Tennessee,"Montgomery County, TN",2017,3382,16.89,73.08
Tennessee,"Montgomery County, TN",2018,3513,Not Available,Not Available
Tennessee,"Montgomery County, TN",2019,3492,Not Available,Not Available
Tennessee,"Montgomery County, TN",,13830,34.93,151.41
Tennessee,"Rutherford County, TN",2016,4130,13.4,58.68
Tennessee,"Rutherford County, TN",2017,4030,12.71,55.75
Tennessee,"Rutherford County, TN",2018,4148,Not Available,Not Available
Tennessee,"Rutherford County, TN",2019,4230,Not Available,Not Available
Tennessee,"Rutherford County, TN",,16538,26.44,115.92
Tennessee,"Shelby County, TN",2016,13234,14.16,67.26
Tennessee,"Shelby County, TN",2017,13163,14.05,67.12
Tennessee,"Shelby County, TN",2018,13124,Not Available,Not Available
Tennessee,"Shelby County, TN",2019,12806,Not Available,Not Available
Tennessee,"Shelby County, TN",,52327,27.96,133.19
Tennessee,"Sullivan County, TN",2016,1492,9.52,56.02
Tennessee,"Sullivan County, TN",2017,1539,9.79,58.17
Tennessee,"Sullivan County, TN",2018,1506,Not Available,Not Available
Tennessee,"Sullivan County, TN",2019,1475,Not Available,Not Available
Tennessee,"Sullivan County, TN",,6012,19.16,113.24
Tennessee,"Sumner County, TN",2016,2053,11.4,60.33
Tennessee,"Sumner County, TN",2017,2193,11.95,63.04
Tennessee,"Sumner County, TN",2018,2150,Not Available,Not Available
Tennessee,"Sumner County, TN",2019,2119,Not Available,Not Available
Tennessee,"Sumner County, TN",,8515,23.42,123.73
Tennessee,"Washington County, TN",2016,1292,10.14,50.26
Tennessee,"Washington County, TN",2017,1236,9.67,48.1
Tennessee,"Washington County, TN",2018,1247,Not Available,Not Available
Tennessee,"Washington County, TN",2019,1221,Not Available,Not Available
Tennessee,"Washington County, TN",,4996,19.57,97.19
Tennessee,"Williamson County, TN",2016,2270,10.36,55.75
Tennessee,"Williamson County, TN",2017,2401,10.61,56.98
Tennessee,"Williamson County, TN",2018,2322,Not Available,Not Available
Tennessee,"Williamson County, TN",2019,2228,Not Available,Not Available
Tennessee,"Williamson County, TN",,9221,20.7,111.29
Tennessee,"Wilson County, TN",2016,1527,11.5,61.11
Tennessee,"Wilson County, TN",2017,1567,11.48,61.25
Tennessee,"Wilson County, TN",2018,1651,Not Available,Not Available
Tennessee,"Wilson County, TN",2019,1634,Not Available,Not Available
Tennessee,"Wilson County, TN",,6379,23.69,126.14
Tennessee,"Unidentified Counties, TN",2016,30549,11.03,62.58
Tennessee,"Unidentified Counties, TN",2017,30776,11.05,62.98
Tennessee,"Unidentified Counties, TN",2018,30395,4.49,22.99
Tennessee,"Unidentified Counties, TN",2019,30587,4.48,22.93
Tennessee,"Unidentified Counties, TN",,122307,6.39,33.67
Tennessee,,,323024,11.98,61.28
Texas,"Bell County, TX",2016,6140,18.04,81.98
Texas,"Bell County, TX",2017,5976,17.18,78.3
Texas,"Bell County, TX",2018,5889,Not Available,Not Available
Texas,"Bell County, TX",2019,6160,Not Available,Not Available
Texas,"Bell County, TX",,24165,35.11,159.8
Texas,"Bexar County, TX",2016,27968,14.5,67.2
Texas,"Bexar County, TX",2017,27014,13.79,63.92
Texas,"Bexar County, TX",2018,26562,Not Available,Not Available
Texas,"Bexar County, TX",2019,26101,Not Available,Not Available
Texas,"Bexar County, TX",,107645,27.69,128.34
Texas,"Brazoria County, TX",2016,4800,13.55,67.6
Texas,"Brazoria County, TX",2017,4630,12.77,63.6
Texas,"Brazoria County, TX",2018,4734,Not Available,Not Available
Texas,"Brazoria County, TX",2019,4759,Not Available,Not Available
Texas,"Brazoria County, TX",,18923,26.4,131.59
Texas,"Brazos County, TX",2016,2771,12.57,46.19
Texas,"Brazos County, TX",2017,2692,12.08,44.7
Texas,"Brazos County, TX",2018,2584,Not Available,Not Available
Texas,"Brazos County, TX",2019,2648,Not Available,Not Available
Texas,"Brazos County, TX",,10695,24.13,88.96
Texas,"Cameron County, TX",2016,6893,16.33,80.33
Texas,"Cameron County, TX",2017,6276,14.81,73.02
Texas,"Cameron County, TX",2018,6306,Not Available,Not Available
Texas,"Cameron County, TX",2019,6131,Not Available,Not Available
Texas,"Cameron County, TX",,25606,30.27,149.08
Texas,"Collin County, TX",2016,11086,11.8,56.24
Texas,"Collin County, TX",2017,10919,11.26,53.86
Texas,"Collin County, TX",2018,11147,Not Available,Not Available
Texas,"Collin County, TX",2019,11524,Not Available,Not Available
Texas,"Collin County, TX",,44676,23.4,111.74
Texas,"Comal County, TX",2016,1448,10.74,62.34
Texas,"Comal County, TX",2017,1480,10.5,60.68
Texas,"Comal County, TX",2018,1526,Not Available,Not Available
Texas,"Comal County, TX",2019,1666,Not Available,Not Available
Texas,"Comal County, TX",,6120,22.19,128.52
Texas,"Dallas County, TX",2016,40379,15.68,71.35
Texas,"Dallas County, TX",2017,39263,15,68.42
Texas,"Dallas County, TX",2018,38182,Not Available,Not Available
Texas,"Dallas County, TX",2019,37544,Not Available,Not Available
Texas,"Dallas County, TX",,155368,29.92,136.32
Texas,"Denton County, TX",2016,10195,12.65,56.51
Texas,"Denton County, TX",2017,9786,11.7,52.65
Texas,"Denton County, TX",2018,9857,Not Available,Not Available
Texas,"Denton County, TX",2019,10235,Not Available,Not Available
Texas,"Denton County, TX",,40073,24.4,109.41
Texas,"Ector County, TX",2016,2814,17.87,85.71
Texas,"Ector County, TX",2017,2750,17.51,83.54
Texas,"Ector County, TX",2018,3000,Not Available,Not Available
Texas,"Ector County, TX",2019,3221,Not Available,Not Available
Texas,"Ector County, TX",,11785,37.47,179.24
Texas,"Ellis County, TX",2016,2244,13.32,66.62
Texas,"Ellis County, TX",2017,2214,12.75,63.88
Texas,"Ellis County, TX",2018,2214,Not Available,Not Available
Texas,"Ellis County, TX",2019,2272,Not Available,Not Available
Texas,"Ellis County, TX",,8944,26.14,130.87
Texas,"El Paso County, TX",2016,13073,15.6,74.23
Texas,"El Paso County, TX",2017,12013,14.29,68.11
Texas,"El Paso County, TX",2018,11721,Not Available,Not Available
Texas,"El Paso County, TX",2019,11637,Not Available,Not Available
Texas,"El Paso County, TX",,48444,28.86,137.44
Texas,"Fort Bend County, TX",2016,9976,13.46,64.98
Texas,"Fort Bend County, TX",2017,9627,12.59,60.9
Texas,"Fort Bend County, TX",2018,9375,Not Available,Not Available
Texas,"Fort Bend County, TX",2019,9052,Not Available,Not Available
Texas,"Fort Bend County, TX",,38030,25.25,122.05
Texas,"Galveston County, TX",2016,4167,12.65,64.53
Texas,"Galveston County, TX",2017,3995,11.92,60.9
Texas,"Galveston County, TX",2018,3957,Not Available,Not Available
Texas,"Galveston County, TX",2019,3957,Not Available,Not Available
Texas,"Galveston County, TX",,16076,24.19,123.5
Texas,"Grayson County, TX",2016,1543,12.03,65.87
Texas,"Grayson County, TX",2017,1580,12.05,66.1
Texas,"Grayson County, TX",2018,1662,Not Available,Not Available
Texas,"Grayson County, TX",2019,1583,Not Available,Not Available
Texas,"Grayson County, TX",,6368,24.55,134.56
Texas,"Gregg County, TX",2016,1743,14.09,72.65
Texas,"Gregg County, TX",2017,1623,13.16,67.77
Texas,"Gregg County, TX",2018,1644,Not Available,Not Available
Texas,"Gregg County, TX",2019,1721,Not Available,Not Available
Texas,"Gregg County, TX",,6731,27.24,140.4
Texas,"Guadalupe County, TX",2016,1847,11.9,59.31
Texas,"Guadalupe County, TX",2017,1773,11.1,55.22
Texas,"Guadalupe County, TX",2018,1848,Not Available,Not Available
Texas,"Guadalupe County, TX",2019,1855,Not Available,Not Available
Texas,"Guadalupe County, TX",,7323,23.25,115.78
Texas,"Harris County, TX",2016,72420,15.78,72.32
Texas,"Harris County, TX",2017,68422,14.7,67.77
Texas,"Harris County, TX",2018,67095,Not Available,Not Available
Texas,"Harris County, TX",2019,66354,Not Available,Not Available
Texas,"Harris County, TX",,274291,29.68,136.39
Texas,"Hays County, TX",2016,2502,12.24,51.14
Texas,"Hays County, TX",2017,2584,12.05,50.3
Texas,"Hays County, TX",2018,2572,Not Available,Not Available
Texas,"Hays County, TX",2019,2562,Not Available,Not Available
Texas,"Hays County, TX",,10220,24.39,101.9
Texas,"Hidalgo County, TX",2016,14982,17.63,82.42
Texas,"Hidalgo County, TX",2017,14108,16.39,76.75
Texas,"Hidalgo County, TX",2018,14185,Not Available,Not Available
Texas,"Hidalgo County, TX",2019,13797,Not Available,Not Available
Texas,"Hidalgo County, TX",,57072,33.37,156.11
Texas,"Jefferson County, TX",2016,3578,14.05,74.46
Texas,"Jefferson County, TX",2017,3475,13.56,72.21
Texas,"Jefferson County, TX",2018,3468,Not Available,Not Available
Texas,"Jefferson County, TX",2019,3323,Not Available,Not Available
Texas,"Jefferson County, TX",,13844,27.09,143.95
Texas,"Johnson County, TX",2016,2100,12.86,67.16
Texas,"Johnson County, TX",2017,2117,12.65,66.03
Texas,"Johnson County, TX",2018,2110,Not Available,Not Available
Texas,"Johnson County, TX",2019,2176,Not Available,Not Available
Texas,"Johnson County, TX",,8503,25.72,134.26
Texas,"Kaufman County, TX",2016,1663,14.05,69.94
Texas,"Kaufman County, TX",2017,1675,13.63,67.38
Texas,"Kaufman County, TX",2018,1786,Not Available,Not Available
Texas,"Kaufman County, TX",2019,1824,Not Available,Not Available
Texas,"Kaufman County, TX",,6948,28.8,142.85
Texas,"Lubbock County, TX",2016,4273,14.1,61.07
Texas,"Lubbock County, TX",2017,4017,13.16,56.86
Texas,"Lubbock County, TX",2018,3896,Not Available,Not Available
Texas,"Lubbock County, TX",2019,4104,Not Available,Not Available
Texas,"Lubbock County, TX",,16290,26.78,115.85
Texas,"McLennan County, TX",2016,3376,13.62,62.91
Texas,"McLennan County, TX",2017,3446,13.71,63.49
Texas,"McLennan County, TX",2018,3460,Not Available,Not Available
Texas,"McLennan County, TX",2019,3301,Not Available,Not Available
Texas,"McLennan County, TX",,13583,27.21,125.84
Texas,"Midland County, TX",2016,2904,17.86,85.21
Texas,"Midland County, TX",2017,2826,17.12,81.74
Texas,"Midland County, TX",2018,3011,Not Available,Not Available
Texas,"Midland County, TX",2019,2983,Not Available,Not Available
Texas,"Midland County, TX",,11724,35.79,170.77
Texas,"Montgomery County, TX",2016,7347,13.21,67.69
Texas,"Montgomery County, TX",2017,7139,12.5,64.27
Texas,"Montgomery County, TX",2018,7355,Not Available,Not Available
Texas,"Montgomery County, TX",2019,7395,Not Available,Not Available
Texas,"Montgomery County, TX",,29236,25.94,133.11
Texas,"Nueces County, TX",2016,4738,13.11,63.78
Texas,"Nueces County, TX",2017,4520,12.51,61.19
Texas,"Nueces County, TX",2018,4569,Not Available,Not Available
Texas,"Nueces County, TX",2019,4461,Not Available,Not Available
Texas,"Nueces County, TX",,18288,25.31,123.44
Texas,"Parker County, TX",2016,1538,11.88,65.89
Texas,"Parker County, TX",2017,1498,11.22,61.85
Texas,"Parker County, TX",2018,1537,Not Available,Not Available
Texas,"Parker County, TX",2019,1613,Not Available,Not Available
Texas,"Parker County, TX",,6186,23.53,130.06
Texas,"Potter County, TX",2016,1886,15.61,81.06
Texas,"Potter County, TX",2017,1714,14.23,74.02
Texas,"Potter County, TX",2018,1638,Not Available,Not Available
Texas,"Potter County, TX",2019,1648,Not Available,Not Available
Texas,"Potter County, TX",,6886,28.54,148.33
Texas,"Randall County, TX",2016,1640,12.38,59.63
Texas,"Randall County, TX",2017,1550,11.53,56.12
Texas,"Randall County, TX",2018,1645,Not Available,Not Available
Texas,"Randall County, TX",2019,1586,Not Available,Not Available
Texas,"Randall County, TX",,6421,24.05,116.49
Texas,"Smith County, TX",2016,3160,14.03,69.75
Texas,"Smith County, TX",2017,3055,13.42,66.78
Texas,"Smith County, TX",2018,2922,Not Available,Not Available
Texas,"Smith County, TX",2019,2912,Not Available,Not Available
Texas,"Smith County, TX",,12049,26.6,132.33
Texas,"Tarrant County, TX",2016,28745,14.25,66.58
Texas,"Tarrant County, TX",2017,27820,13.54,63.24
Texas,"Tarrant County, TX",2018,27280,Not Available,Not Available
Texas,"Tarrant County, TX",2019,27161,Not Available,Not Available
Texas,"Tarrant County, TX",,111006,27.27,127.36
Texas,"Taylor County, TX",2016,2037,14.92,69.1
