Notes,State of Residence,County of Residence,Year,Births,% of Total Births
Total,Florida,"Hillsborough County, FL",,69041,0.45%
,Florida,"Indian River County, FL",2016,1245,0.01%
,Florida,"Indian River County, FL",2017,1277,0.01%
,Florida,"Indian River County, FL",2018,1294,0.01%
,Florida,"Indian River County, FL",2019,1260,0.01%
Total,Florida,"Indian River County, FL",,5076,0.03%
,Florida,"Lake County, FL",2016,3269,0.02%
,Florida,"Lake County, FL",2017,3265,0.02%
,Florida,"Lake County, FL",2018,3368,0.02%
,Florida,"Lake County, FL",2019,3429,0.02%
Total,Florida,"Lake County, FL",,13331,0.09%
,Florida,"Lee County, FL",2016,6750,0.04%
,Florida,"Lee County, FL",2017,6681,0.04%
,Florida,"Lee County, FL",2018,6793,0.04%
,Florida,"Lee County, FL",2019,6928,0.05%
Total,Florida,"Lee County, FL",,27152,0.18%
,Florida,"Leon County, FL",2016,2989,0.02%
,Florida,"Leon County, FL",2017,3132,0.02%
,Florida,"Leon County, FL",2018,2915,0.02%
,Florida,"Leon County, FL",2019,2968,0.02%
Total,Florida,"Leon County, FL",,12004,0.08%
,Florida,"Manatee County, FL",2016,3445,0.02%
,Florida,"Manatee County, FL",2017,3476,0.02%
,Florida,"Manatee County, FL",2018,3452,0.02%
,Florida,"Manatee County, FL",2019,3481,0.02%
Total,Florida,"Manatee County, FL",,13854,0.09%
,Florida,"Marion County, FL",2016,3472,0.02%
,Florida,"Marion County, FL",2017,3496,0.02%
,Florida,"Marion County, FL",2018,3476,0.02%
,Florida,"Marion County, FL",2019,3552,0.02%
Total,Florida,"Marion County, FL",,13996,0.09%
,Florida,"Martin County, FL",2016,1273,0.01%
,Florida,"Martin County, FL",2017,1271,0.01%
,Florida,"Martin County, FL",2018,1251,0.01%
,Florida,"Martin County, FL",2019,1207,0.01%
Total,Florida,"Martin County, FL",,5002,0.03%
,Florida,"Miami-Dade County, FL",2016,32697,0.21%
,Florida,"Miami-Dade County, FL",2017,31818,0.21%
,Florida,"Miami-Dade County, FL",2018,31032,0.20%
,Florida,"Miami-Dade County, FL",2019,30258,0.20%
Total,Florida,"Miami-Dade County, FL",,125805,0.82%
,Florida,"Okaloosa County, FL",2016,2784,0.02%
,Florida,"Okaloosa County, FL",2017,2682,0.02%
,Florida,"Okaloosa County, FL",2018,2717,0.02%
,Florida,"Okaloosa County, FL",2019,2706,0.02%
Total,Florida,"Okaloosa County, FL",,10889,0.07%
,Florida,"Orange County, FL",2016,16653,0.11%
,Florida,"Orange County, FL",2017,16890,0.11%
,Florida,"Orange County, FL",2018,16919,0.11%
,Florida,"Orange County, FL",2019,16622,0.11%
Total,Florida,"Orange County, FL",,67084,0.44%
,Florida,"Osceola County, FL",2016,4328,0.03%
,Florida,"Osceola County, FL",2017,4386,0.03%
,Florida,"Osceola County, FL",2018,4437,0.03%
,Florida,"Osceola County, FL",2019,4440,0.03%
Total,Florida,"Osceola County, FL",,17591,0.11%
,Florida,"Palm Beach County, FL",2016,14965,0.10%
,Florida,"Palm Beach County, FL",2017,15050,0.10%
,Florida,"Palm Beach County, FL",2018,15066,0.10%
,Florida,"Palm Beach County, FL",2019,14738,0.10%
Total,Florida,"Palm Beach County, FL",,59819,0.39%
,Florida,"Pasco County, FL",2016,5108,0.03%
,Florida,"Pasco County, FL",2017,5140,0.03%
,Florida,"Pasco County, FL",2018,5084,0.03%
,Florida,"Pasco County, FL",2019,5092,0.03%
Total,Florida,"Pasco County, FL",,20424,0.13%
,Florida,"Pinellas County, FL",2016,8480,0.06%
,Florida,"Pinellas County, FL",2017,8230,0.05%
,Florida,"Pinellas County, FL",2018,8126,0.05%
,Florida,"Pinellas County, FL",2019,7895,0.05%
Total,Florida,"Pinellas County, FL",,32731,0.21%
,Florida,"Polk County, FL",2016,7804,0.05%
,Florida,"Polk County, FL",2017,7849,0.05%
,Florida,"Polk County, FL",2018,7847,0.05%
,Florida,"Polk County, FL",2019,8196,0.05%
Total,Florida,"Polk County, FL",,31696,0.21%
,Florida,"St. Johns County, FL",2016,2120,0.01%
,Florida,"St. Johns County, FL",2017,2135,0.01%
,Florida,"St. Johns County, FL",2018,2242,0.01%
,Florida,"St. Johns County, FL",2019,2208,0.01%
Total,Florida,"St. Johns County, FL",,8705,0.06%
,Florida,"St. Lucie County, FL",2016,2999,0.02%
,Florida,"St. Lucie County, FL",2017,3019,0.02%
,Florida,"St. Lucie County, FL",2018,3123,0.02%
,Florida,"St. Lucie County, FL",2019,3107,0.02%
Total,Florida,"St. Lucie County, FL",,12248,0.08%
,Florida,"Santa Rosa County, FL",2016,1906,0.01%
,Florida,"Santa Rosa County, FL",2017,1924,0.01%
,Florida,"Santa Rosa County, FL",2018,1953,0.01%
,Florida,"Santa Rosa County, FL",2019,1947,0.01%
Total,Florida,"Santa Rosa County, FL",,7730,0.05%
,Florida,"Sarasota County, FL",2016,2926,0.02%
,Florida,"Sarasota County, FL",2017,2824,0.02%
,Florida,"Sarasota County, FL",2018,2878,0.02%
,Florida,"Sarasota County, FL",2019,2885,0.02%
Total,Florida,"Sarasota County, FL",,11513,0.08%
,Florida,"Seminole County, FL",2016,4753,0.03%
,Florida,"Seminole County, FL",2017,4774,0.03%
,Florida,"Seminole County, FL",2018,4663,0.03%
,Florida,"Seminole County, FL",2019,4646,0.03%
Total,Florida,"Seminole County, FL",,18836,0.12%
,Florida,"Volusia County, FL",2016,5032,0.03%
,Florida,"Volusia County, FL",2017,4986,0.03%
,Florida,"Volusia County, FL",2018,4863,0.03%
,Florida,"Volusia County, FL",2019,4824,0.03%
Total,Florida,"Volusia County, FL",,19705,0.13%
,Florida,"Unidentified Counties, FL",2016,13182,0.09%
,Florida,"Unidentified Counties, FL",2017,13012,0.08%
,Florida,"Unidentified Counties, FL",2018,12991,0.08%
,Florida,"Unidentified Counties, FL",2019,13037,0.08%
Total,Florida,"Unidentified Counties, FL",,52222,0.34%
Total,Florida,,,890196,5.80%
,Georgia,"Bartow County, GA",2016,1338,0.01%
,Georgia,"Bartow County, GA",2017,1307,0.01%
,Georgia,"Bartow County, GA",2018,1173,0.01%
,Georgia,"Bartow County, GA",2019,1299,0.01%
Total,Georgia,"Bartow County, GA",,5117,0.03%
,Georgia,"Bibb County, GA",2016,2191,0.01%
,Georgia,"Bibb County, GA",2017,2244,0.01%
,Georgia,"Bibb County, GA",2018,2063,0.01%
,Georgia,"Bibb County, GA",2019,2120,0.01%
Total,Georgia,"Bibb County, GA",,8618,0.06%
,Georgia,"Carroll County, GA",2016,1615,0.01%
,Georgia,"Carroll County, GA",2017,1613,0.01%
,Georgia,"Carroll County, GA",2018,1540,0.01%
,Georgia,"Carroll County, GA",2019,1619,0.01%
Total,Georgia,"Carroll County, GA",,6387,0.04%
,Georgia,"Chatham County, GA",2016,3975,0.03%
,Georgia,"Chatham County, GA",2017,3712,0.02%
,Georgia,"Chatham County, GA",2018,3557,0.02%
,Georgia,"Chatham County, GA",2019,3677,0.02%
Total,Georgia,"Chatham County, GA",,14921,0.10%
,Georgia,"Cherokee County, GA",2016,2700,0.02%
,Georgia,"Cherokee County, GA",2017,2582,0.02%
,Georgia,"Cherokee County, GA",2018,2562,0.02%
,Georgia,"Cherokee County, GA",2019,2619,0.02%
Total,Georgia,"Cherokee County, GA",,10463,0.07%
,Georgia,"Clarke County, GA",2016,1392,0.01%
,Georgia,"Clarke County, GA",2017,1386,0.01%
,Georgia,"Clarke County, GA",2018,1351,0.01%
,Georgia,"Clarke County, GA",2019,1299,0.01%
Total,Georgia,"Clarke County, GA",,5428,0.04%
,Georgia,"Clayton County, GA",2016,3809,0.02%
,Georgia,"Clayton County, GA",2017,3813,0.02%
,Georgia,"Clayton County, GA",2018,3773,0.02%
,Georgia,"Clayton County, GA",2019,3814,0.02%
Total,Georgia,"Clayton County, GA",,15209,0.10%
,Georgia,"Cobb County, GA",2016,9579,0.06%
,Georgia,"Cobb County, GA",2017,9588,0.06%
,Georgia,"Cobb County, GA",2018,8927,0.06%
,Georgia,"Cobb County, GA",2019,8869,0.06%
Total,Georgia,"Cobb County, GA",,36963,0.24%
,Georgia,"Columbia County, GA",2016,1831,0.01%
,Georgia,"Columbia County, GA",2017,1666,0.01%
,Georgia,"Columbia County, GA",2018,1817,0.01%
,Georgia,"Columbia County, GA",2019,1658,0.01%
Total,Georgia,"Columbia County, GA",,6972,0.05%
,Georgia,"Coweta County, GA",2016,1634,0.01%
,Georgia,"Coweta County, GA",2017,1731,0.01%
,Georgia,"Coweta County, GA",2018,1575,0.01%
,Georgia,"Coweta County, GA",2019,1668,0.01%
Total,Georgia,"Coweta County, GA",,6608,0.04%
,Georgia,"DeKalb County, GA",2016,11060,0.07%
,Georgia,"DeKalb County, GA",2017,10933,0.07%
,Georgia,"DeKalb County, GA",2018,10785,0.07%
,Georgia,"DeKalb County, GA",2019,10327,0.07%
Total,Georgia,"DeKalb County, GA",,43105,0.28%
,Georgia,"Douglas County, GA",2016,1693,0.01%
,Georgia,"Douglas County, GA",2017,1729,0.01%
,Georgia,"Douglas County, GA",2018,1700,0.01%
,Georgia,"Douglas County, GA",2019,1634,0.01%
Total,Georgia,"Douglas County, GA",,6756,0.04%
,Georgia,"Fayette County, GA",2016,911,0.01%
,Georgia,"Fayette County, GA",2017,886,0.01%
,Georgia,"Fayette County, GA",2018,867,0.01%
,Georgia,"Fayette County, GA",2019,888,0.01%
Total,Georgia,"Fayette County, GA",,3552,0.02%
,Georgia,"Forsyth County, GA",2016,2297,0.01%
,Georgia,"Forsyth County, GA",2017,2302,0.02%
,Georgia,"Forsyth County, GA",2018,2306,0.02%
,Georgia,"Forsyth County, GA",2019,2206,0.01%
Total,Georgia,"Forsyth County, GA",,9111,0.06%
,Georgia,"Fulton County, GA",2016,13123,0.09%
,Georgia,"Fulton County, GA",2017,13363,0.09%
,Georgia,"Fulton County, GA",2018,12652,0.08%
,Georgia,"Fulton County, GA",2019,12590,0.08%
Total,Georgia,"Fulton County, GA",,51728,0.34%
,Georgia,"Gwinnett County, GA",2016,11365,0.07%
,Georgia,"Gwinnett County, GA",2017,11442,0.07%
,Georgia,"Gwinnett County, GA",2018,10855,0.07%
,Georgia,"Gwinnett County, GA",2019,11034,0.07%
Total,Georgia,"Gwinnett County, GA",,44696,0.29%
,Georgia,"Hall County, GA",2016,2574,0.02%
,Georgia,"Hall County, GA",2017,2616,0.02%
,Georgia,"Hall County, GA",2018,2496,0.02%
,Georgia,"Hall County, GA",2019,2573,0.02%
Total,Georgia,"Hall County, GA",,10259,0.07%
,Georgia,"Henry County, GA",2016,2511,0.02%
,Georgia,"Henry County, GA",2017,2581,0.02%
,Georgia,"Henry County, GA",2018,2705,0.02%
,Georgia,"Henry County, GA",2019,2758,0.02%
Total,Georgia,"Henry County, GA",,10555,0.07%
,Georgia,"Houston County, GA",2016,1956,0.01%
,Georgia,"Houston County, GA",2017,1908,0.01%
,Georgia,"Houston County, GA",2018,1967,0.01%
,Georgia,"Houston County, GA",2019,1985,0.01%
Total,Georgia,"Houston County, GA",,7816,0.05%
,Georgia,"Lowndes County, GA",2016,1605,0.01%
,Georgia,"Lowndes County, GA",2017,1671,0.01%
,Georgia,"Lowndes County, GA",2018,1656,0.01%
,Georgia,"Lowndes County, GA",2019,1683,0.01%
Total,Georgia,"Lowndes County, GA",,6615,0.04%
,Georgia,"Muscogee County, GA",2016,2912,0.02%
,Georgia,"Muscogee County, GA",2017,2791,0.02%
,Georgia,"Muscogee County, GA",2018,2864,0.02%
,Georgia,"Muscogee County, GA",2019,2816,0.02%
Total,Georgia,"Muscogee County, GA",,11383,0.07%
,Georgia,"Paulding County, GA",2016,1644,0.01%
,Georgia,"Paulding County, GA",2017,1602,0.01%
,Georgia,"Paulding County, GA",2018,1763,0.01%
,Georgia,"Paulding County, GA",2019,1740,0.01%
Total,Georgia,"Paulding County, GA",,6749,0.04%
,Georgia,"Richmond County, GA",2016,3061,0.02%
,Georgia,"Richmond County, GA",2017,3003,0.02%
,Georgia,"Richmond County, GA",2018,2918,0.02%
,Georgia,"Richmond County, GA",2019,2977,0.02%
Total,Georgia,"Richmond County, GA",,11959,0.08%
,Georgia,"Whitfield County, GA",2016,1424,0.01%
,Georgia,"Whitfield County, GA",2017,1357,0.01%
,Georgia,"Whitfield County, GA",2018,1300,0.01%
,Georgia,"Whitfield County, GA",2019,1253,0.01%
Total,Georgia,"Whitfield County, GA",,5334,0.03%
,Georgia,"Unidentified Counties, GA",2016,41842,0.27%
,Georgia,"Unidentified Counties, GA",2017,41417,0.27%
,Georgia,"Unidentified Counties, GA",2018,41000,0.27%
,Georgia,"Unidentified Counties, GA",2019,41265,0.27%
Total,Georgia,"Unidentified Counties, GA",,165524,1.08%
Total,Georgia,,,511828,3.34%
,Hawaii,"Hawaii County, HI",2016,2349,0.02%
,Hawaii,"Hawaii County, HI",2017,2290,0.01%
,Hawaii,"Hawaii County, HI",2018,2227,0.01%
,Hawaii,"Hawaii County, HI",2019,2056,0.01%
Total,Hawaii,"Hawaii County, HI",,8922,0.06%
,Hawaii,"Honolulu County, HI",2016,12983,0.08%
,Hawaii,"Honolulu County, HI",2017,12487,0.08%
,Hawaii,"Honolulu County, HI",2018,12168,0.08%
,Hawaii,"Honolulu County, HI",2019,12129,0.08%
Total,Hawaii,"Honolulu County, HI",,49767,0.32%
,Hawaii,"Maui County, HI",2016,1882,0.01%
,Hawaii,"Maui County, HI",2017,1883,0.01%
,Hawaii,"Maui County, HI",2018,1828,0.01%
,Hawaii,"Maui County, HI",2019,1832,0.01%
Total,Hawaii,"Maui County, HI",,7425,0.05%
,Hawaii,"Unidentified Counties, HI",2016,845,0.01%
,Hawaii,"Unidentified Counties, HI",2017,857,0.01%
,Hawaii,"Unidentified Counties, HI",2018,749,0.00%
,Hawaii,"Unidentified Counties, HI",2019,780,0.01%
Total,Hawaii,"Unidentified Counties, HI",,3231,0.02%
Total,Hawaii,,,69345,0.45%
,Idaho,"Ada County, ID",2016,5045,0.03%
,Idaho,"Ada County, ID",2017,4842,0.03%
,Idaho,"Ada County, ID",2018,4861,0.03%
,Idaho,"Ada County, ID",2019,4929,0.03%
Total,Idaho,"Ada County, ID",,19677,0.13%
,Idaho,"Bonneville County, ID",2016,1910,0.01%
,Idaho,"Bonneville County, ID",2017,1876,0.01%
,Idaho,"Bonneville County, ID",2018,1815,0.01%
,Idaho,"Bonneville County, ID",2019,1834,0.01%
Total,Idaho,"Bonneville County, ID",,7435,0.05%
,Idaho,"Canyon County, ID",2016,3129,0.02%
,Idaho,"Canyon County, ID",2017,3065,0.02%
,Idaho,"Canyon County, ID",2018,2918,0.02%
,Idaho,"Canyon County, ID",2019,3046,0.02%
Total,Idaho,"Canyon County, ID",,12158,0.08%
,Idaho,"Kootenai County, ID",2016,1754,0.01%
,Idaho,"Kootenai County, ID",2017,1811,0.01%
,Idaho,"Kootenai County, ID",2018,1732,0.01%
,Idaho,"Kootenai County, ID",2019,1861,0.01%
Total,Idaho,"Kootenai County, ID",,7158,0.05%
,Idaho,"Unidentified Counties, ID",2016,10644,0.07%
,Idaho,"Unidentified Counties, ID",2017,10587,0.07%
,Idaho,"Unidentified Counties, ID",2018,10077,0.07%
,Idaho,"Unidentified Counties, ID",2019,10393,0.07%
Total,Idaho,"Unidentified Counties, ID",,41701,0.27%
Total,Idaho,,,88129,0.57%
,Illinois,"Champaign County, IL",2016,2395,0.02%
,Illinois,"Champaign County, IL",2017,2295,0.01%
,Illinois,"Champaign County, IL",2018,2254,0.01%
,Illinois,"Champaign County, IL",2019,2230,0.01%
Total,Illinois,"Champaign County, IL",,9174,0.06%
,Illinois,"Cook County, IL",2016,66779,0.44%
,Illinois,"Cook County, IL",2017,64374,0.42%
,Illinois,"Cook County, IL",2018,61797,0.40%
,Illinois,"Cook County, IL",2019,59031,0.38%
Total,Illinois,"Cook County, IL",,251981,1.64%
,Illinois,"DeKalb County, IL",2016,1093,0.01%
,Illinois,"DeKalb County, IL",2017,1142,0.01%
,Illinois,"DeKalb County, IL",2018,1092,0.01%
,Illinois,"DeKalb County, IL",2019,1143,0.01%
Total,Illinois,"DeKalb County, IL",,4470,0.03%
,Illinois,"DuPage County, IL",2016,10832,0.07%
,Illinois,"DuPage County, IL",2017,10337,0.07%
,Illinois,"DuPage County, IL",2018,10298,0.07%
,Illinois,"DuPage County, IL",2019,9988,0.07%
Total,Illinois,"DuPage County, IL",,41455,0.27%
,Illinois,"Kane County, IL",2016,6710,0.04%
,Illinois,"Kane County, IL",2017,6339,0.04%
,Illinois,"Kane County, IL",2018,6337,0.04%
,Illinois,"Kane County, IL",2019,5976,0.04%
Total,Illinois,"Kane County, IL",,25362,0.17%
,Illinois,"Kankakee County, IL",2016,1354,0.01%
,Illinois,"Kankakee County, IL",2017,1289,0.01%
,Illinois,"Kankakee County, IL",2018,1237,0.01%
,Illinois,"Kankakee County, IL",2019,1256,0.01%
Total,Illinois,"Kankakee County, IL",,5136,0.03%
,Illinois,"Kendall County, IL",2016,1595,0.01%
,Illinois,"Kendall County, IL",2017,1481,0.01%
,Illinois,"Kendall County, IL",2018,1516,0.01%
,Illinois,"Kendall County, IL",2019,1548,0.01%
Total,Illinois,"Kendall County, IL",,6140,0.04%
,Illinois,"Lake County, IL",2016,7660,0.05%
,Illinois,"Lake County, IL",2017,7607,0.05%
,Illinois,"Lake County, IL",2018,7095,0.05%
,Illinois,"Lake County, IL",2019,6986,0.05%
Total,Illinois,"Lake County, IL",,29348,0.19%
,Illinois,"LaSalle County, IL",2016,1262,0.01%
,Illinois,"LaSalle County, IL",2017,1180,0.01%
,Illinois,"LaSalle County, IL",2018,1092,0.01%
,Illinois,"LaSalle County, IL",2019,1130,0.01%
Total,Illinois,"LaSalle County, IL",,4664,0.03%
,Illinois,"McHenry County, IL",2016,3090,0.02%
,Illinois,"McHenry County, IL",2017,3185,0.02%
,Illinois,"McHenry County, IL",2018,2987,0.02%
,Illinois,"McHenry County, IL",2019,3063,0.02%
Total,Illinois,"McHenry County, IL",,12325,0.08%
,Illinois,"McLean County, IL",2016,2020,0.01%
,Illinois,"McLean County, IL",2017,2004,0.01%
,Illinois,"McLean County, IL",2018,1817,0.01%
,Illinois,"McLean County, IL",2019,1769,0.01%
Total,Illinois,"McLean County, IL",,7610,0.05%
,Illinois,"Macon County, IL",2016,1327,0.01%
,Illinois,"Macon County, IL",2017,1298,0.01%
,Illinois,"Macon County, IL",2018,1269,0.01%
,Illinois,"Macon County, IL",2019,1253,0.01%
Total,Illinois,"Macon County, IL",,5147,0.03%
,Illinois,"Madison County, IL",2016,3051,0.02%
,Illinois,"Madison County, IL",2017,2892,0.02%
,Illinois,"Madison County, IL",2018,2865,0.02%
,Illinois,"Madison County, IL",2019,2747,0.02%
Total,Illinois,"Madison County, IL",,11555,0.08%
,Illinois,"Peoria County, IL",2016,2536,0.02%
,Illinois,"Peoria County, IL",2017,2533,0.02%
,Illinois,"Peoria County, IL",2018,2504,0.02%
,Illinois,"Peoria County, IL",2019,2354,0.02%
Total,Illinois,"Peoria County, IL",,9927,0.06%
,Illinois,"Rock Island County, IL",2016,1776,0.01%
,Illinois,"Rock Island County, IL",2017,1668,0.01%
,Illinois,"Rock Island County, IL",2018,1731,0.01%
,Illinois,"Rock Island County, IL",2019,1626,0.01%
Total,Illinois,"Rock Island County, IL",,6801,0.04%
,Illinois,"St. Clair County, IL",2016,3228,0.02%
,Illinois,"St. Clair County, IL",2017,3221,0.02%
,Illinois,"St. Clair County, IL",2018,3109,0.02%
,Illinois,"St. Clair County, IL",2019,3008,0.02%
Total,Illinois,"St. Clair County, IL",,12566,0.08%
,Illinois,"Sangamon County, IL",2016,2245,0.01%
,Illinois,"Sangamon County, IL",2017,2289,0.01%
,Illinois,"Sangamon County, IL",2018,2240,0.01%
,Illinois,"Sangamon County, IL",2019,2099,0.01%
Total,Illinois,"Sangamon County, IL",,8873,0.06%
,Illinois,"Tazewell County, IL",2016,1496,0.01%
,Illinois,"Tazewell County, IL",2017,1450,0.01%
,Illinois,"Tazewell County, IL",2018,1391,0.01%
,Illinois,"Tazewell County, IL",2019,1350,0.01%
Total,Illinois,"Tazewell County, IL",,5687,0.04%
,Illinois,"Will County, IL",2016,7804,0.05%
,Illinois,"Will County, IL",2017,7427,0.05%
,Illinois,"Will County, IL",2018,7318,0.05%
,Illinois,"Will County, IL",2019,7216,0.05%
Total,Illinois,"Will County, IL",,29765,0.19%
,Illinois,"Winnebago County, IL",2016,3711,0.02%
,Illinois,"Winnebago County, IL",2017,3501,0.02%
,Illinois,"Winnebago County, IL",2018,3497,0.02%
,Illinois,"Winnebago County, IL",2019,3448,0.02%
Total,Illinois,"Winnebago County, IL",,14157,0.09%
,Illinois,"Unidentified Counties, IL",2016,22481,0.15%
,Illinois,"Unidentified Counties, IL",2017,21878,0.14%
,Illinois,"Unidentified Counties, IL",2018,21369,0.14%
,Illinois,"Unidentified Counties, IL",2019,20907,0.14%
Total,Illinois,"Unidentified Counties, IL",,86635,0.56%
Total,Illinois,,,588778,3.84%
,Indiana,"Allen County, IN",2016,5151,0.03%
,Indiana,"Allen County, IN",2017,5206,0.03%
,Indiana,"Allen County, IN",2018,5240,0.03%
,Indiana,"Allen County, IN",2019,5302,0.03%
Total,Indiana,"Allen County, IN",,20899,0.14%
,Indiana,"Clark County, IN",2016,1448,0.01%
,Indiana,"Clark County, IN",2017,1474,0.01%
,Indiana,"Clark County, IN",2018,1396,0.01%
,Indiana,"Clark County, IN",2019,1411,0.01%
Total,Indiana,"Clark County, IN",,5729,0.04%
,Indiana,"Delaware County, IN",2016,1174,0.01%
,Indiana,"Delaware County, IN",2017,1126,0.01%
,Indiana,"Delaware County, IN",2018,1072,0.01%
,Indiana,"Delaware County, IN",2019,1052,0.01%
Total,Indiana,"Delaware County, IN",,4424,0.03%
,Indiana,"Elkhart County, IN",2016,3126,0.02%
,Indiana,"Elkhart County, IN",2017,3087,0.02%
,Indiana,"Elkhart County, IN",2018,3117,0.02%
,Indiana,"Elkhart County, IN",2019,3032,0.02%
Total,Indiana,"Elkhart County, IN",,12362,0.08%
,Indiana,"Hamilton County, IN",2016,3798,0.02%
,Indiana,"Hamilton County, IN",2017,3835,0.02%
,Indiana,"Hamilton County, IN",2018,3724,0.02%
,Indiana,"Hamilton County, IN",2019,3683,0.02%
Total,Indiana,"Hamilton County, IN",,15040,0.10%
,Indiana,"Hendricks County, IN",2016,1760,0.01%
,Indiana,"Hendricks County, IN",2017,1720,0.01%
,Indiana,"Hendricks County, IN",2018,1619,0.01%
,Indiana,"Hendricks County, IN",2019,1656,0.01%
Total,Indiana,"Hendricks County, IN",,6755,0.04%
,Indiana,"Johnson County, IN",2016,1871,0.01%
,Indiana,"Johnson County, IN",2017,1814,0.01%
,Indiana,"Johnson County, IN",2018,1877,0.01%
,Indiana,"Johnson County, IN",2019,1852,0.01%
Total,Indiana,"Johnson County, IN",,7414,0.05%
,Indiana,"Lake County, IN",2016,5657,0.04%
,Indiana,"Lake County, IN",2017,5601,0.04%
,Indiana,"Lake County, IN",2018,5785,0.04%
,Indiana,"Lake County, IN",2019,5682,0.04%
Total,Indiana,"Lake County, IN",,22725,0.15%
,Indiana,"La Porte County, IN",2016,1305,0.01%
,Indiana,"La Porte County, IN",2017,1272,0.01%
,Indiana,"La Porte County, IN",2018,1271,0.01%
,Indiana,"La Porte County, IN",2019,1175,0.01%
Total,Indiana,"La Porte County, IN",,5023,0.03%
,Indiana,"Madison County, IN",2016,1506,0.01%
,Indiana,"Madison County, IN",2017,1396,0.01%
,Indiana,"Madison County, IN",2018,1409,0.01%
,Indiana,"Madison County, IN",2019,1415,0.01%
Total,Indiana,"Madison County, IN",,5726,0.04%
,Indiana,"Marion County, IN",2016,14294,0.09%
,Indiana,"Marion County, IN",2017,14389,0.09%
,Indiana,"Marion County, IN",2018,14036,0.09%
,Indiana,"Marion County, IN",2019,14048,0.09%
Total,Indiana,"Marion County, IN",,56767,0.37%
,Indiana,"Monroe County, IN",2016,1301,0.01%
,Indiana,"Monroe County, IN",2017,1249,0.01%
,Indiana,"Monroe County, IN",2018,1246,0.01%
,Indiana,"Monroe County, IN",2019,1084,0.01%
Total,Indiana,"Monroe County, IN",,4880,0.03%
,Indiana,"Porter County, IN",2016,1750,0.01%
,Indiana,"Porter County, IN",2017,1642,0.01%
,Indiana,"Porter County, IN",2018,1677,0.01%
,Indiana,"Porter County, IN",2019,1643,0.01%
Total,Indiana,"Porter County, IN",,6712,0.04%
,Indiana,"St. Joseph County, IN",2016,3577,0.02%
,Indiana,"St. Joseph County, IN",2017,3497,0.02%
,Indiana,"St. Joseph County, IN",2018,3538,0.02%
,Indiana,"St. Joseph County, IN",2019,3436,0.02%
Total,Indiana,"St. Joseph County, IN",,14048,0.09%
,Indiana,"Tippecanoe County, IN",2016,2359,0.02%
,Indiana,"Tippecanoe County, IN",2017,2240,0.01%
,Indiana,"Tippecanoe County, IN",2018,2158,0.01%
,Indiana,"Tippecanoe County, IN",2019,2067,0.01%
Total,Indiana,"Tippecanoe County, IN",,8824,0.06%
,Indiana,"Vanderburgh County, IN",2016,2269,0.01%
,Indiana,"Vanderburgh County, IN",2017,2128,0.01%
,Indiana,"Vanderburgh County, IN",2018,2115,0.01%
,Indiana,"Vanderburgh County, IN",2019,2175,0.01%
Total,Indiana,"Vanderburgh County, IN",,8687,0.06%
,Indiana,"Vigo County, IN",2016,1288,0.01%
,Indiana,"Vigo County, IN",2017,1224,0.01%
,Indiana,"Vigo County, IN",2018,1131,0.01%
,Indiana,"Vigo County, IN",2019,1188,0.01%
Total,Indiana,"Vigo County, IN",,4831,0.03%
,Indiana,"Unidentified Counties, IN",2016,29457,0.19%
,Indiana,"Unidentified Counties, IN",2017,29270,0.19%
,Indiana,"Unidentified Counties, IN",2018,29235,0.19%
,Indiana,"Unidentified Counties, IN",2019,28958,0.19%
Total,Indiana,"Unidentified Counties, IN",,116920,0.76%
Total,Indiana,,,327766,2.14%
,Iowa,"Black Hawk County, IA",2016,1671,0.01%
,Iowa,"Black Hawk County, IA",2017,1732,0.01%
,Iowa,"Black Hawk County, IA",2018,1632,0.01%
,Iowa,"Black Hawk County, IA",2019,1645,0.01%
Total,Iowa,"Black Hawk County, IA",,6680,0.04%
,Iowa,"Johnson County, IA",2016,1857,0.01%
,Iowa,"Johnson County, IA",2017,1751,0.01%
,Iowa,"Johnson County, IA",2018,1735,0.01%
,Iowa,"Johnson County, IA",2019,1738,0.01%
Total,Iowa,"Johnson County, IA",,7081,0.05%
,Iowa,"Linn County, IA",2016,2800,0.02%
,Iowa,"Linn County, IA",2017,2799,0.02%
,Iowa,"Linn County, IA",2018,2731,0.02%
,Iowa,"Linn County, IA",2019,2738,0.02%
Total,Iowa,"Linn County, IA",,11068,0.07%
,Iowa,"Polk County, IA",2016,6921,0.05%
,Iowa,"Polk County, IA",2017,6943,0.05%
,Iowa,"Polk County, IA",2018,6655,0.04%
,Iowa,"Polk County, IA",2019,6551,0.04%
Total,Iowa,"Polk County, IA",,27070,0.18%
,Iowa,"Scott County, IA",2016,2213,0.01%
,Iowa,"Scott County, IA",2017,2117,0.01%
,Iowa,"Scott County, IA",2018,2096,0.01%
,Iowa,"Scott County, IA",2019,2086,0.01%
Total,Iowa,"Scott County, IA",,8512,0.06%
,Iowa,"Woodbury County, IA",2016,1549,0.01%
,Iowa,"Woodbury County, IA",2017,1416,0.01%
,Iowa,"Woodbury County, IA",2018,1393,0.01%
,Iowa,"Woodbury County, IA",2019,1483,0.01%
Total,Iowa,"Woodbury County, IA",,5841,0.04%
,Iowa,"Unidentified Counties, IA",2016,22392,0.15%
,Iowa,"Unidentified Counties, IA",2017,21672,0.14%
,Iowa,"Unidentified Counties, IA",2018,21543,0.14%
